Dataset,Topology,Alpha,Agents,Accuracy,Precision,Recall,F1,Energy,PacketLossSimulated,PacketLossScenario,SourceFile,Approach
cic,FullyConnected,0.5,10,0.32205928470795286,0.1178562959449846,0.00173498989377114,0.00341963849535906,2.3,0.5,0.5,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.5_normal_dos_reconnaissance_loss50.csv,MARL
cic,FullyConnected,0.5,10,0.32878767312435936,0.09154929577464788,1.3614608824361e-4,2.7188784277911e-4,2.3,0,0,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.5_normal_exploits_loss0.csv,MARL
cic,FullyConnected,0.5,10,0.3295576347900977,0.37333333333333335,9.774590950823334e-5,1.9544064886295e-4,2.3,0.1,0.1,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.5_normal_exploits_loss10.csv,MARL
cic,FullyConnected,0.5,10,0.3291621225666637,0.084070796460177,6.632758145201549e-5,1.3255058723398e-4,2.3,0.3,0.3,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.5_normal_exploits_loss30.csv,MARL
cic,FullyConnected,0.5,10,0.3327755596849008,0.8817567567567568,0.0054667890817819,0.01086620893513234,2.3,0.5,0.5,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.5_normal_exploits_loss50.csv,MARL
cic,FullyConnected,0.5,10,0.33212729408791136,0.8547008547008547,0.00453820294145369,0.00902846745237483,2.3,0,0,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.5_normal_fuzzers_loss0.csv,MARL
cic,FullyConnected,0.5,10,0.332578973727691,0.8569023569023569,0.00533064299353829,0.01059537397784477,2.3,0.1,0.1,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.5_normal_fuzzers_loss10.csv,MARL
cic,FullyConnected,0.5,9,0.4968686665387298,0.9089723048752576,0.2772702360214622,0.4249231616988153,2.1,0.3,0.3,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.5_normal_fuzzers_loss30.csv,MARL
cic,FullyConnected,0.5,10,0.6906953994205395,0.9801579645108888,0.5497544134023605,0.7044144156233366,2.3,0.5,0.5,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.5_normal_fuzzers_loss50.csv,MARL
cic,FullyConnected,1,8,0.5094501678001563,0.9667525084424576,0.2778252931504554,0.43161351378467866,1.9,0,0,marl_xgb_FullyConnected_topology_cic_detection_metrics_1.0_normal_dos_reconnaissance_loss0.csv,MARL
cic,FullyConnected,1,8,0.509408042237897,0.9679391916583427,0.2773959093336871,0.431213047854978,1.9,0.1,0.1,marl_xgb_FullyConnected_topology_cic_detection_metrics_1.0_normal_dos_reconnaissance_loss10.csv,MARL
cic,FullyConnected,1,8,0.33550670030470825,0.799288256227758,0.01176092746904422,0.02318076732537017,1.9,0.3,0.3,marl_xgb_FullyConnected_topology_cic_detection_metrics_1.0_normal_dos_reconnaissance_loss30.csv,MARL
cic,FullyConnected,1,7,0.6941777792339701,0.9891728265579762,0.5498381956105105,0.7067980596204503,1.6999999999999995,0.5,0.5,marl_xgb_FullyConnected_topology_cic_detection_metrics_1.0_normal_dos_reconnaissance_loss50.csv,MARL
cic,FullyConnected,1,8,0.6450359705495513,0.8768319754860572,0.5474120024995025,0.6740254548736927,1.9,0,0,marl_xgb_FullyConnected_topology_cic_detection_metrics_1.0_normal_exploits_loss0.csv,MARL
cic,FullyConnected,1,8,0.3221833210857162,0.3477718017671917,0.01264064065461832,0.02439459829082861,1.9,0.1,0.1,marl_xgb_FullyConnected_topology_cic_detection_metrics_1.0_normal_exploits_loss10.csv,MARL
cic,FullyConnected,1,8,0.5028177320533403,0.9374349881796692,0.2768548159060522,0.427465322039471,1.9,0.3,0.3,marl_xgb_FullyConnected_topology_cic_detection_metrics_1.0_normal_exploits_loss30.csv,MARL
cic,FullyConnected,1,8,0.28717697884828713,0.00334246575342465,2.1294644571436e-4,4.0038463179382e-4,1.9,0.5,0.5,marl_xgb_FullyConnected_topology_cic_detection_metrics_1.0_normal_exploits_loss50.csv,MARL
cic,FullyConnected,1,8,0.5403211840091365,0.7817928029994805,0.4360165749135123,0.5598160540363679,1.9,0,0,marl_xgb_FullyConnected_topology_cic_detection_metrics_1.0_normal_fuzzers_loss0.csv,MARL
cic,FullyConnected,1,8,0.3573113593918941,0.9330651060716898,0.04452675270633987,0.08499735112135863,1.9,0.1,0.1,marl_xgb_FullyConnected_topology_cic_detection_metrics_1.0_normal_fuzzers_loss10.csv,MARL
cic,FullyConnected,1,8,0.45824654687404925,0.8958306329660833,0.2171425379725404,0.34955548312409385,1.9,0.3,0.3,marl_xgb_FullyConnected_topology_cic_detection_metrics_1.0_normal_fuzzers_loss30.csv,MARL
cic,FullyConnected,1,7,0.35220012450443955,0.7604942268263731,0.04920459266137675,0.092428956920040245,1.6999999999999995,0.5,0.5,marl_xgb_FullyConnected_topology_cic_detection_metrics_1.0_normal_fuzzers_loss50.csv,MARL
cic,FullyConnected,2,10,0.5139178177086503,0.9865447581392476,0.2787364246640857,0.43466379235258257,2.3,0,0,marl_xgb_FullyConnected_topology_cic_detection_metrics_2.0_normal_dos_reconnaissance_loss0.csv,MARL
cic,FullyConnected,2,9,0.3294757239745936,0,0,0,2.1,0.1,0.1,marl_xgb_FullyConnected_topology_cic_detection_metrics_2.0_normal_dos_reconnaissance_loss10.csv,MARL
cic,FullyConnected,2,11,0.27815742790678083,0.00149673439767779,1.1520053620613e-4,2.1393494432829e-4,2.5,0.3,0.3,marl_xgb_FullyConnected_topology_cic_detection_metrics_2.0_normal_dos_reconnaissance_loss30.csv,MARL
cic,FullyConnected,2,10,0.3266977771744981,0.17151932239280043,0.00113105981002384,0.0022473001186075,2.3,0.5,0.5,marl_xgb_FullyConnected_topology_cic_detection_metrics_2.0_normal_dos_reconnaissance_loss50.csv,MARL
cic,FullyConnected,2,9,0.5199464537297505,0.8887699205567718,0.32454434697005136,0.47546668030481265,2.1,0,0,marl_xgb_FullyConnected_topology_cic_detection_metrics_2.0_normal_exploits_loss0.csv,MARL
cic,FullyConnected,2,10,0.6962676751838313,0.9945267915761832,0.5499638689227353,0.7082643049014868,2.3,0.1,0.1,marl_xgb_FullyConnected_topology_cic_detection_metrics_2.0_normal_exploits_loss10.csv,MARL
cic,FullyConnected,2,10,0.49402285077721664,0.8937322065054137,0.27835591380207153,0.4244999001796766,2.3,0.3,0.3,marl_xgb_FullyConnected_topology_cic_detection_metrics_2.0_normal_exploits_loss30.csv,MARL
cic,FullyConnected,2,9,0.6354758082257181,0.856630648330059,0.5479670596284957,0.6683840859107041,2.1,0.5,0.5,marl_xgb_FullyConnected_topology_cic_detection_metrics_2.0_normal_exploits_loss50.csv,MARL
cic,FullyConnected,2,10,0.33326000365088204,0.9546247818499128,0.00572860848225039,0.01138887346621509,2.3,0,0,marl_xgb_FullyConnected_topology_cic_detection_metrics_2.0_normal_fuzzers_loss0.csv,MARL
