dataset,method,alpha,agents,features,rows_train,rows_test,accuracy,precision,recall,f1,roc_auc,threshold,delta_accuracy,delta_precision,delta_recall,delta_f1,delta_roc_auc
unsw,legacy_random_first_agent,0.5,5,24,6400,2666,0.8852213053263316,0.8306503541532517,0.967741935483871,0.893970893970894,0.977568660732325,0.5,-0.006001500375093727,-0.009289896429157674,0.0015003750937734317,-0.004776124528361292,-0.002295585149100554
unsw,enhanced_adaptive_best_peer,0.5,5,24,6400,2666,0.8792198049512379,0.821360457724094,0.9692423105776444,0.8891947694425327,0.9752730755832244,0.5,-0.006001500375093727,-0.009289896429157674,0.0015003750937734317,-0.004776124528361292,-0.002295585149100554
ton,legacy_random_first_agent,0.5,4,24,4480,2400,1.0,1.0,1.0,1.0,1.0,0.5,-0.0033333333333332993,-0.0066225165562914245,0.0,-0.0033222591362126463,0.0
ton,enhanced_trust_weighted_ensemble,0.5,4,24,4480,2400,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,1.0,0.2,-0.0033333333333332993,-0.0066225165562914245,0.0,-0.0033222591362126463,0.0
cic,legacy_random_first_agent,0.5,4,24,4480,2400,0.97125,0.9669694467382328,0.9758333333333333,0.9713811696391539,0.9951336805555555,0.5,0.019166666666666665,0.027984295902641843,0.010000000000000009,0.018991371172901395,0.0037631944444445065
cic,enhanced_adaptive_best_peer,0.5,4,24,4480,2400,0.9904166666666666,0.9949537426408747,0.9858333333333333,0.9903725408120553,0.998896875,0.5800000000000001,0.019166666666666665,0.027984295902641843,0.010000000000000009,0.018991371172901395,0.0037631944444445065
